epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,287.252,0.51076,0.38571,0.83041,0.98602,1,0.995,0.92927,0.40344,0.25949,0.80338,0.000174695,0.000174695,0.000174695
73,291.224,0.51129,0.387,0.8305,0.9859,0.99951,0.995,0.90181,0.45647,0.27829,0.8142,0.000168874,0.000168874,0.000168874
74,295.134,0.49332,0.38433,0.82844,0.98945,1,0.995,0.92299,0.41114,0.25636,0.80529,0.000163052,0.000163052,0.000163052
75,299.044,0.50021,0.39622,0.83393,0.99038,1,0.995,0.93134,0.39434,0.25167,0.80278,0.000157231,0.000157231,0.000157231
76,302.923,0.50563,0.38081,0.83158,0.98966,1,0.995,0.92915,0.40398,0.26478,0.80225,0.00015141,0.00015141,0.00015141
77,306.827,0.48369,0.36454,0.82523,0.98844,1,0.995,0.92991,0.4099,0.25648,0.80597,0.000145589,0.000145589,0.000145589
78,310.766,0.47636,0.35676,0.8198,0.99153,1,0.995,0.93194,0.38477,0.25349,0.80003,0.000139768,0.000139768,0.000139768
79,314.69,0.47652,0.36159,0.83528,0.99034,1,0.995,0.93583,0.39833,0.25167,0.80301,0.000133946,0.000133946,0.000133946
80,318.686,0.47324,0.36969,0.82662,0.99179,1,0.995,0.927,0.38922,0.25762,0.80174,0.000128125,0.000128125,0.000128125
81,322.596,0.46896,0.3692,0.82419,0.99008,1,0.995,0.93281,0.38844,0.25171,0.80047,0.000122304,0.000122304,0.000122304
82,326.573,0.46298,0.35733,0.8241,0.9891,1,0.995,0.94077,0.36348,0.24368,0.79805,0.000116483,0.000116483,0.000116483
83,330.572,0.471,0.36155,0.82361,0.99097,1,0.995,0.94112,0.36736,0.2405,0.79817,0.000110662,0.000110662,0.000110662
84,334.637,0.46192,0.35217,0.81966,0.99139,1,0.995,0.93062,0.3756,0.24044,0.79662,0.00010484,0.00010484,0.00010484
85,338.606,0.45968,0.35636,0.82345,0.99195,0.99932,0.995,0.93943,0.36255,0.24315,0.79541,9.90192e-05,9.90192e-05,9.90192e-05
86,342.677,0.4457,0.35087,0.82397,0.99007,1,0.995,0.93951,0.3707,0.24225,0.7951,9.3198e-05,9.3198e-05,9.3198e-05
87,346.68,0.44424,0.34591,0.81824,0.9911,1,0.995,0.93402,0.3843,0.24343,0.79819,8.73768e-05,8.73768e-05,8.73768e-05
88,350.696,0.45925,0.34991,0.82067,0.98969,1,0.995,0.93372,0.39136,0.24798,0.79998,8.15556e-05,8.15556e-05,8.15556e-05
89,354.684,0.43444,0.33882,0.81181,0.99207,1,0.995,0.92733,0.39458,0.24502,0.80092,7.57344e-05,7.57344e-05,7.57344e-05
90,358.597,0.44244,0.35121,0.81533,0.99256,1,0.995,0.93798,0.36333,0.23754,0.79546,6.99132e-05,6.99132e-05,6.99132e-05
91,378.499,0.43592,0.34357,0.82746,0.99095,1,0.995,0.93993,0.35903,0.24245,0.79404,6.4092e-05,6.4092e-05,6.4092e-05
92,383.813,0.4179,0.34006,0.81577,0.99007,1,0.995,0.93744,0.37435,0.24454,0.79614,5.82708e-05,5.82708e-05,5.82708e-05
93,389.168,0.39954,0.32565,0.82034,0.99001,1,0.995,0.93488,0.38016,0.24824,0.79776,5.24496e-05,5.24496e-05,5.24496e-05
94,394.545,0.40981,0.3232,0.82439,0.99128,1,0.995,0.92404,0.40856,0.25317,0.80179,4.66284e-05,4.66284e-05,4.66284e-05
95,399.895,0.39652,0.3187,0.81345,0.98961,1,0.995,0.94154,0.35783,0.23789,0.79369,4.08072e-05,4.08072e-05,4.08072e-05
96,405.301,0.40298,0.32027,0.81194,0.99042,1,0.995,0.94059,0.36692,0.23942,0.79601,3.4986e-05,3.4986e-05,3.4986e-05
97,410.634,0.3869,0.30698,0.8108,0.99204,1,0.995,0.95464,0.33993,0.2294,0.79145,2.91648e-05,2.91648e-05,2.91648e-05
98,415.262,0.39002,0.31627,0.80831,0.99198,0.99737,0.995,0.95124,0.34453,0.22967,0.79148,2.33436e-05,2.33436e-05,2.33436e-05
99,419.142,0.39879,0.31634,0.81466,0.99134,0.99862,0.995,0.95115,0.34132,0.23045,0.79112,1.75224e-05,1.75224e-05,1.75224e-05
100,422.979,0.38496,0.31171,0.8029,0.99007,0.99999,0.995,0.94942,0.33977,0.23094,0.79142,1.17012e-05,1.17012e-05,1.17012e-05
